area_type,availability,Location,society,Area,Bathroom,balcony,Price,Bhk
Built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1785.0,3.0,0.0,165.0,3
Super built-up  Area,Ready To Move,Hebbal Kempapura,GonumPl,3729.0,4.0,2.0,384.0,4
Super built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1600.0,3.0,3.0,170.0,3
Super built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1730.0,3.0,2.0,175.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1569.0,3.0,1.0,101.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,2026.0,3.0,2.0,132.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1801.0,3.0,2.0,115.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Soiniy ,1341.0,2.0,1.0,97.0,2
Super built-up  Area,Ready To Move,Hegde Nagar,SoisoCa,2112.95,4.0,2.0,145.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Soiniy ,1703.0,3.0,2.0,113.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1570.0,3.0,1.0,105.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1801.0,3.0,2.0,140.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1584.01,3.0,1.0,103.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1965.0,4.0,2.0,125.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1847.0,3.0,2.0,135.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1965.0,4.0,2.0,132.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Soiniy ,1703.0,3.0,2.0,125.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1847.0,3.0,2.0,125.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoisoCa,2144.6,4.0,2.0,145.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Soiniy ,1718.0,3.0,2.0,119.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1847.0,3.0,2.0,123.0,3
Super built-up  Area,19-Sep,Hegde Nagar,SoisoCa,2087.01,3.0,2.0,115.0,3
Super built-up  Area,16-Dec,Hegde Nagar,Soiniy ,1703.0,3.0,2.0,130.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoisoCa,2087.01,4.0,2.0,135.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Soiniy ,1718.0,3.0,2.0,130.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1884.0,4.0,2.0,118.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1930.0,4.0,2.0,122.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1584.01,3.0,1.0,104.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,Dhniail,1168.0,2.0,1.0,68.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoisoCa,2162.03,4.0,2.0,129.0,3
Super built-up  Area,Ready To Move,Hegde Nagar,SoisoCa,2087.01,4.0,2.0,160.0,3
Built-up  Area,Ready To Move,Hegde Nagar,DSthian,1348.0,2.0,2.0,80.5,3
Super built-up  Area,Ready To Move,Hennur,SLureSi,1075.0,2.0,1.0,52.0,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,1.0,52.32,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1225.0,2.0,1.0,57.0,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,1.0,57.5,2
Super built-up  Area,Ready To Move,Hennur,Exitym ,1259.0,2.0,2.0,57.0,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,2.0,53.5,2
Super built-up  Area,Ready To Move,Hennur,Adity T,1231.0,2.0,2.0,48.0,2
Super built-up  Area,Ready To Move,Hennur,MDncyhi,1040.0,2.0,2.0,42.12,2
Super built-up  Area,Ready To Move,Hennur,MDncyhi,1041.0,2.0,2.0,40.6,2
Super built-up  Area,Ready To Move,Hennur,Adity T,1231.0,2.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,2.0,53.5,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,1.0,57.5,2
Super built-up  Area,Ready To Move,Hennur,SLureSi,1020.0,2.0,1.0,48.0,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,1.0,52.32,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1295.0,2.0,1.0,64.0,2
Super built-up  Area,Ready To Move,Hennur,SLureSi,1345.0,2.0,1.0,69.0,3
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,1.0,58.0,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,1.0,52.32,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,2.0,52.35,2
Super built-up  Area,Ready To Move,Hennur,MDncyhi,1340.0,2.0,2.0,54.27,3
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,1.0,53.57,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,2.0,56.5,2
Super built-up  Area,Ready To Move,Hennur,Shateor,1295.0,2.0,1.0,62.0,2
Super built-up  Area,Ready To Move,Hennur Road,Anavi B,2089.0,3.0,2.0,140.0,3
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1385.0,2.0,1.0,83.09,2
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1904.0,3.0,2.0,120.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1891.0,3.0,1.0,109.0,3
Super built-up  Area,19-Sep,Hennur Road,Orens G,1561.0,3.0,2.0,95.0,3
Super built-up  Area,17-Apr,Hennur Road,Koagati,1192.0,2.0,1.0,60.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,2060.0,3.0,1.0,149.0,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1482.0,2.0,1.0,92.0,3
Super built-up  Area,Ready To Move,Hennur Road,Puachal,1232.0,2.0,2.0,89.0,2
Super built-up  Area,19-Mar,Hennur Road,Puachal,1482.0,2.0,2.0,83.73,3
Super built-up  Area,18-Oct,Hennur Road,Puachal,1482.0,2.0,1.0,87.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1891.0,3.0,1.0,139.0,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1232.0,2.0,0.0,69.61,2
Super built-up  Area,Ready To Move,Hennur Road,Koagati,987.0,2.0,1.0,49.0,2
Super built-up  Area,19-Mar,Hennur Road,Puachal,1804.0,3.0,2.0,102.0,3
Built-up  Area,Ready To Move,Hennur Road,Asadacy,2160.0,3.0,2.0,160.0,3
Super built-up  Area,18-Mar,Hennur Road,Koagati,1186.0,2.0,1.0,63.0,3
Super built-up  Area,Ready To Move,Hennur Road,Maity W,1385.0,2.0,1.0,83.09,2
Super built-up  Area,Ready To Move,Hennur Road,Koagati,1186.0,2.0,1.0,56.0,3
Super built-up  Area,Ready To Move,Hennur Road,Samittv,2350.0,3.0,2.0,174.0,3
Super built-up  Area,Ready To Move,Hennur Road,ChionCo,1586.0,3.0,3.0,93.94,3
Super built-up  Area,Ready To Move,Hennur Road,Maity W,1290.0,2.0,1.0,94.5,3
Super built-up  Area,Ready To Move,Hennur Road,Maity W,1445.0,3.0,1.0,86.56,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1482.0,2.0,3.0,97.0,3
Super built-up  Area,Ready To Move,Hennur Road,Gaodsch,1182.0,2.0,2.0,82.5,2
Super built-up  Area,Ready To Move,Hennur Road,Koagati,1192.0,2.0,1.0,62.0,3
Super built-up  Area,18-May,Hennur Road,Koagati,1036.0,2.0,1.0,59.46,2
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1891.0,3.0,1.0,109.0,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1232.0,2.0,1.0,69.61,2
Super built-up  Area,18-Aug,Hennur Road,Puachal,1804.0,3.0,2.0,102.0,3
Super built-up  Area,Ready To Move,Hennur Road,Samittv,2320.0,3.0,2.0,170.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1936.0,3.0,1.0,118.0,3
Super built-up  Area,Ready To Move,Hennur Road,Eltert ,1480.0,2.0,2.0,65.0,2
Super built-up  Area,18-Sep,Hennur Road,Shxorm ,1590.0,3.0,2.0,96.5,3
Built-up  Area,18-May,Hennur Road,Maity W,1445.0,2.0,1.0,105.0,3
Super built-up  Area,18-Dec,Hennur Road,Koagati,1036.0,2.0,1.0,59.45,2
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1832.0,3.0,1.0,125.0,3
Super built-up  Area,18-Jan,Hennur Road,Asadacy,1359.0,2.0,2.0,104.0,2
Super built-up  Area,19-Mar,Hennur Road,Puachal,1341.0,2.0,1.0,75.76,2
Super built-up  Area,18-Dec,Hennur Road,Inaxyga,1040.0,2.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Hennur Road,MItatHa,1685.0,3.0,2.0,95.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1949.0,3.0,1.0,133.0,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1232.0,2.0,2.0,89.0,2
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1250.0,2.0,1.0,77.88,3
Super built-up  Area,Ready To Move,Hennur Road,Samittv,2502.0,4.0,2.0,180.0,4
Built-up  Area,Ready To Move,Hennur Road,SaireSa,1831.0,3.0,1.0,110.0,3
Super built-up  Area,18-Oct,Hennur Road,Puachal,1232.0,2.0,1.0,87.0,2
Super built-up  Area,18-Jan,Hennur Road,Puachal,1232.0,2.0,1.0,74.0,2
Super built-up  Area,18-Jul,Hennur Road,Puachal,1232.0,2.0,1.0,66.0,2
Super built-up  Area,19-Mar,Hennur Road,Puachal,1341.0,2.0,1.0,95.0,2
Super built-up  Area,19-Mar,Hennur Road,Puachal,1232.0,2.0,1.0,88.0,2
Super built-up  Area,Ready To Move,Hennur Road,Samittv,2365.0,4.0,2.0,175.0,3
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1310.0,2.0,1.0,66.0,2
Built-up  Area,Ready To Move,Hennur Road,Baesta ,1015.0,2.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Hennur Road,Koagati,1186.0,2.0,2.0,55.33,3
Super built-up  Area,Ready To Move,Hennur Road,Samittv,2264.0,3.0,2.0,168.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,2002.0,3.0,2.0,120.0,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1232.0,2.0,1.0,69.6,2
Super built-up  Area,18-Dec,Hennur Road,Shxorm ,1195.0,2.0,2.0,73.0,2
Super built-up  Area,Ready To Move,Hennur Road,Koagati,1061.0,2.0,1.0,54.92,2
Super built-up  Area,Ready To Move,Hennur Road,MItatHa,1585.0,2.0,3.0,80.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,2041.0,3.0,3.0,128.0,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1232.0,2.0,1.0,87.0,2
Built-up  Area,Ready To Move,Hennur Road,Koagati,1066.0,2.0,1.0,52.23,2
Super built-up  Area,Ready To Move,Hennur Road,Koagati,973.0,2.0,1.0,56.0,2
Built-up  Area,Ready To Move,Hennur Road,Soncy R,1255.0,2.0,1.0,84.0,2
Super built-up  Area,18-Mar,Hennur Road,Puachal,1232.0,2.0,1.0,83.0,2
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1832.0,3.0,1.0,116.0,3
Super built-up  Area,Ready To Move,Hennur Road,Maity W,1445.0,2.0,2.0,86.69,3
Super built-up  Area,18-Sep,Hennur Road,Maity W,1445.0,2.0,1.0,83.0,3
Super built-up  Area,19-Mar,Hennur Road,Puachal,1679.0,3.0,2.0,94.86,3
Super built-up  Area,18-May,Hennur Road,Puachal,1482.0,2.0,1.0,68.9,3
Super built-up  Area,19-Sep,Hennur Road,Orens G,1450.0,3.0,1.0,88.6,3
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1155.0,2.0,1.0,69.18,2
Super built-up  Area,Ready To Move,Hennur Road,Koagati,1053.0,2.0,1.0,53.0,2
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1904.0,3.0,2.0,129.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1981.0,3.0,1.0,134.0,3
Super built-up  Area,Ready To Move,Hennur Road,Maity W,1155.0,2.0,1.0,69.18,2
Super built-up  Area,18-Dec,Hennur Road,Shxorm ,1590.0,3.0,2.0,105.0,3
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,2041.0,3.0,3.0,138.0,3
Built-up  Area,Ready To Move,Hennur Road,Maity W,1100.0,2.0,1.0,78.0,3
Super built-up  Area,18-Aug,Hennur Road,Puachal,1232.0,2.0,1.0,69.61,2
Built-up  Area,Ready To Move,Hennur Road,Elley B,1460.0,2.0,1.0,80.3,2
Super built-up  Area,Ready To Move,Hennur Road,Samittv,1933.0,3.0,2.0,140.0,3
Super built-up  Area,18-Dec,Hennur Road,Inaxyga,1030.0,2.0,1.0,46.5,2
Super built-up  Area,18-Aug,Hennur Road,Puachal,1232.0,2.0,1.0,69.61,2
Super built-up  Area,19-Mar,Hennur Road,Orens G,1450.0,3.0,2.0,79.0,3
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1445.0,2.0,1.0,89.56,3
Super built-up  Area,Ready To Move,Hennur Road,Koagati,973.0,2.0,1.0,50.74,2
Super built-up  Area,19-Mar,Hennur Road,Puachal,1482.0,2.0,1.0,83.73,3
Super built-up  Area,Ready To Move,Hennur Road,Maity W,1305.0,2.0,1.0,77.0,3
Super built-up  Area,Ready To Move,Hennur Road,MItatHa,1672.0,3.0,2.0,86.0,3
Super built-up  Area,19-Mar,Hennur Road,Orens G,1165.0,2.0,1.0,67.0,2
Super built-up  Area,Ready To Move,Hennur Road,Koagati,980.0,2.0,1.0,51.0,2
Super built-up  Area,18-Aug,Hennur Road,Puachal,1232.0,2.0,1.0,80.0,2
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,950.0,2.0,1.0,55.0,2
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1891.0,3.0,1.0,110.0,3
Super built-up  Area,Ready To Move,Hennur Road,Soncy R,1735.0,3.0,3.0,78.0,3
Super built-up  Area,Ready To Move,Hennur Road,DSreerk,1470.0,2.0,1.0,75.0,3
Super built-up  Area,19-Mar,Hennur Road,Orens G,1165.0,2.0,1.0,52.0,2
Built-up  Area,Ready To Move,Hennur Road,Eltert ,1450.0,2.0,2.0,80.0,2
Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1155.0,2.0,1.0,69.18,2
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1936.0,3.0,1.0,131.0,3
Built-up  Area,Ready To Move,Hoodi,Dhgraas,985.0,2.0,2.0,67.0,2
Super built-up  Area,Ready To Move,Hoodi,SMaxyay,1715.0,2.0,2.0,95.0,3
Super built-up  Area,19-Dec,Hoodi,Caycend,2118.0,4.0,2.0,111.0,4
Built-up  Area,Ready To Move,Hoodi,Goeur G,1425.0,2.0,2.0,80.0,2
Super built-up  Area,Ready To Move,Hoodi,Goeur G,1420.0,2.0,2.0,75.0,2
Super built-up  Area,21-Dec,Hoodi,GoAirej,1639.0,3.0,2.0,110.0,3
Super built-up  Area,Ready To Move,Hoodi,Keers S,1606.0,3.0,3.0,89.55,3
Super built-up  Area,21-Jul,Hoodi,GoAirej,1639.0,3.0,1.0,98.32,3
Super built-up  Area,19-Dec,Hoodi,Caycend,1512.0,3.0,2.0,75.77,3
Super built-up  Area,19-Dec,Hoodi,Caycend,1026.0,2.0,1.0,60.87,2
Super built-up  Area,Ready To Move,Hoodi,SMaxyay,1400.0,2.0,1.0,78.0,2
Super built-up  Area,21-Jul,Hoodi,GoAirej,1196.0,2.0,0.0,71.74,2
Super built-up  Area,19-Dec,Hoodi,Caycend,1553.0,3.0,2.0,83.09,3
Built-up  Area,Ready To Move,Hoodi,SMaxyay,1500.0,2.0,1.0,84.0,2
Super built-up  Area,19-Dec,Hoodi,Caycend,1055.0,2.0,1.0,57.63,2
Super built-up  Area,Ready To Move,Hoodi,SMaxyay,1925.0,2.0,3.0,114.0,3
Super built-up  Area,Ready To Move,Hoodi,SMaxyay,1400.0,2.0,1.0,82.0,2
Super built-up  Area,19-Dec,Hoodi,Caycend,1746.0,3.0,3.0,84.95,3
Super built-up  Area,21-Dec,Hoodi,GoAirej,706.0,1.0,1.0,48.24,1
Super built-up  Area,Ready To Move,Hoodi,Keers S,1257.0,2.0,1.0,69.0,2
Super built-up  Area,21-Jul,Hoodi,GoAirej,1132.0,2.0,0.0,67.9,2
Super built-up  Area,Ready To Move,Hoodi,Goeur G,1925.0,3.0,3.0,110.0,3
Super built-up  Area,Ready To Move,Hoodi,Keers S,1769.0,3.0,3.0,96.87,3
Super built-up  Area,Ready To Move,Hoodi,Keers S,1257.0,2.0,1.0,71.03,2
Super built-up  Area,Ready To Move,Hoodi,Keers S,1305.0,2.0,1.0,75.0,2
Built-up  Area,Ready To Move,Hoodi,Macanr ,1370.0,3.0,2.0,67.0,3
Super built-up  Area,21-Dec,Hoodi,GoAirej,1108.0,2.0,1.0,74.23,2
Super built-up  Area,Ready To Move,Hoodi,Keers S,1257.0,2.0,1.0,68.5,2
Built-up  Area,Ready To Move,Hoodi,Macanr ,1000.0,2.0,2.0,48.0,2
Super built-up  Area,19-Dec,Hoodi,Caycend,1063.0,2.0,1.0,61.17,2
Super built-up  Area,Ready To Move,Hoodi,Keers S,1259.0,2.0,2.0,69.45,2
Super built-up  Area,19-Dec,Hoodi,Caycend,1559.0,3.0,1.0,81.55,3
Super built-up  Area,Ready To Move,Hoodi,SMaxyay,1715.0,2.0,2.0,100.0,3
Super built-up  Area,19-Dec,Hoodi,Hahtsde,1447.0,3.0,2.0,76.0,2
Super built-up  Area,Ready To Move,Hoodi,EsaceLe,2144.0,3.0,2.0,140.0,3
Super built-up  Area,21-Jul,Hoodi,GoAirej,1108.0,2.0,0.0,66.46,2
Built-up  Area,Ready To Move,Hoodi,Macanr ,1400.0,3.0,2.0,74.0,3
Super built-up  Area,21-Jul,Hoodi,GoAirej,1837.0,3.0,1.0,110.0,3
Super built-up  Area,19-Dec,Hoodi,Caycend,1644.0,3.0,3.0,80.51,3
Built-up  Area,Ready To Move,Horamavu Agara,Maows M,1106.0,2.0,1.0,43.09,2
Super built-up  Area,Ready To Move,Horamavu Agara,Maows M,1107.83,2.0,1.0,41.51,2
Super built-up  Area,Ready To Move,Horamavu Agara,Suise S,1145.0,2.0,1.0,41.21,2
Super built-up  Area,Ready To Move,Horamavu Agara,DSireSo,1000.0,2.0,1.0,46.0,2
Super built-up  Area,Ready To Move,Horamavu Agara,Maows M,1150.0,2.0,1.0,42.0,2
Super built-up  Area,Ready To Move,Horamavu Agara,Honcyju,1364.0,2.0,3.0,50.0,3
Built-up  Area,Ready To Move,Horamavu Agara,SLoraFl,1080.0,2.0,1.0,38.0,2
Super built-up  Area,18-Aug,Horamavu Agara,S2ionrn,994.0,2.0,1.0,42.28,2
Super built-up  Area,Ready To Move,Horamavu Agara,Maows M,1107.83,2.0,1.0,41.51,2
Super built-up  Area,18-Aug,Horamavu Agara,S2ionrn,1090.0,2.0,1.0,46.0,2
Super built-up  Area,Ready To Move,Horamavu Agara,SKdesa ,1557.0,3.0,1.0,70.0,3
Super built-up  Area,Ready To Move,Hormavu,SyidaCr,1500.0,2.0,1.0,78.0,2
Super built-up  Area,Ready To Move,Hormavu,ElavuHo,1150.0,2.0,2.0,55.0,2
Super built-up  Area,19-Dec,Hormavu,Kolisl ,715.0,1.0,2.0,46.0,1
Built-up  Area,Ready To Move,Hormavu,BhncyRe,1180.0,2.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Hormavu,Nadhian,1175.0,2.0,1.0,52.0,2
Super built-up  Area,Ready To Move,Hormavu,Ocock R,1500.0,3.0,3.0,70.0,3
Built-up  Area,Ready To Move,Hormavu,Cadel C,1725.0,3.0,2.0,85.0,3
Super built-up  Area,Ready To Move,Hormavu,NStusD ,1153.0,2.0,1.0,65.0,2
Built-up  Area,Ready To Move,Hormavu,Naandit,1150.0,2.0,1.0,53.11,2
Super built-up  Area,Ready To Move,Hormavu,ARureig,1123.0,2.0,1.0,56.0,2
Super built-up  Area,Ready To Move,Hormavu,ARureig,1385.0,2.0,2.0,69.0,3
Super built-up  Area,Ready To Move,Hormavu,ARureig,1018.0,2.0,1.0,50.8,2
Super built-up  Area,Ready To Move,Hormavu,Undraro,1555.0,3.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Hormavu,SLtraks,1143.0,2.0,1.0,53.0,2
Built-up  Area,Ready To Move,Hormavu,Foisha ,1000.0,2.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Hormavu,Srarkha,1200.0,2.0,2.0,68.0,2
Super built-up  Area,Ready To Move,Hormavu,Undraro,1200.0,2.0,3.0,68.0,2
Super built-up  Area,Ready To Move,Hormavu,VMityre,1420.0,3.0,2.0,58.0,3
Super built-up  Area,Ready To Move,Hormavu,Atreli ,1250.0,2.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Hormavu,ARureig,1385.0,2.0,1.0,69.25,3
Super built-up  Area,Ready To Move,Hormavu,SyavuHo,1400.0,2.0,0.0,75.0,2
Super built-up  Area,Ready To Move,Hormavu,Naandit,1365.0,2.0,2.0,65.0,3
Plot  Area,Ready To Move,Hormavu,Grensak,1200.0,2.0,0.0,73.0,2
Super built-up  Area,Ready To Move,Hormavu,Savar S,1250.0,2.0,2.0,65.0,2
Built-up  Area,Ready To Move,Hormavu,Neise P,1604.0,3.0,0.0,68.0,3
Super built-up  Area,Ready To Move,Hormavu,ARureig,1075.0,2.0,1.0,53.7,2
Super built-up  Area,Ready To Move,Hormavu,ARureig,1075.0,2.0,1.0,53.7,2
Carpet  Area,19-Jun,Hormavu,Kolisl ,2282.0,4.0,0.0,115.0,4
Super built-up  Area,Ready To Move,Hormavu,ARaveSa,1206.0,2.0,1.0,55.0,2
Super built-up  Area,Ready To Move,Hormavu,Savar S,1310.0,2.0,2.0,67.0,2
Super built-up  Area,Ready To Move,Hormavu,Savar S,1310.0,2.0,3.0,60.0,2
Super built-up  Area,Ready To Move,Hormavu,Cadel C,1210.0,2.0,3.0,69.0,2
Super built-up  Area,18-May,Hosa Road,Pamesy ,1639.0,3.0,1.0,80.0,3
Super built-up  Area,18-Jul,Hosa Road,Mahesr ,1161.0,2.0,1.0,55.15,2
Super built-up  Area,18-Jul,Hosa Road,Mahesr ,1726.0,3.0,2.0,81.99,3
Super built-up  Area,18-Jul,Hosa Road,Mahesr ,1161.0,2.0,1.0,55.15,2
Super built-up  Area,19-Mar,Hosa Road,Sosisic,1430.0,2.0,1.0,97.52,2
Super built-up  Area,Ready To Move,Hosa Road,Sosisic,1365.0,2.0,1.0,92.0,2
Super built-up  Area,18-Dec,Hosa Road,Mahesr ,1541.0,3.0,1.0,69.84,3
Super built-up  Area,19-Mar,Hosa Road,Skume R,1332.0,2.0,1.0,86.12,3
Super built-up  Area,19-Mar,Hosa Road,Skume R,615.0,1.0,1.0,28.29,1
Super built-up  Area,19-Mar,Hosa Road,Skume R,1318.0,2.0,1.0,85.28,3
Super built-up  Area,19-Jun,Hosa Road,Sosisic,1513.0,3.0,1.0,103.0,3
Super built-up  Area,18-May,Hosa Road,Pamesy ,1133.0,2.0,1.0,52.0,2
Super built-up  Area,18-Dec,Hosa Road,Mahesr ,1161.0,2.0,1.0,55.15,2
Super built-up  Area,19-Mar,Hosa Road,Skume R,1532.0,3.0,2.0,98.13,3
Super built-up  Area,18-Dec,Hosa Road,SJerse ,1680.0,3.0,1.0,101.0,3
Super built-up  Area,19-Mar,Hosa Road,Skume R,1533.0,3.0,1.0,98.18,3
Super built-up  Area,19-Mar,Hosa Road,Skume R,1040.0,2.0,1.0,68.59,2
Super built-up  Area,20-Oct,Hosa Road,Skume R,1040.0,2.0,1.0,61.0,2
Built-up  Area,18-Jan,Hosa Road,Gllas V,2500.0,3.0,2.0,100.0,3
Super built-up  Area,19-Mar,Hosa Road,Skume R,1311.0,2.0,1.0,84.86,3
Super built-up  Area,19-Jun,Hosa Road,Sosisic,1512.0,3.0,2.0,103.0,3
Super built-up  Area,18-Sep,Hosa Road,Mahesr ,1726.0,3.0,2.0,81.99,3
Super built-up  Area,18-Jul,Hosa Road,Mahesr ,1364.0,2.0,1.0,64.79,2
Super built-up  Area,Ready To Move,Hosa Road,SSaleRo,1016.0,2.0,1.0,45.0,2
Super built-up  Area,18-Jan,Hosa Road,Pamesy ,1730.0,3.0,2.0,72.6,3
Super built-up  Area,18-Dec,Hosa Road,SJerse ,1360.0,2.0,1.0,77.61,2
Super built-up  Area,18-Jul,Hosa Road,SJerse ,1170.0,2.0,2.0,65.0,2
Super built-up  Area,18-Jul,Hosa Road,Mahesr ,1161.0,2.0,1.0,55.15,2
Super built-up  Area,18-Aug,Hosa Road,Sosisic,1538.0,3.0,1.0,107.0,3
Super built-up  Area,18-Dec,Hosa Road,SJerse ,1470.0,2.0,2.0,84.22,3
Super built-up  Area,19-Mar,Hosa Road,Sosisic,1513.0,3.0,1.0,103.0,3
Super built-up  Area,19-Mar,Hosa Road,Skume R,625.0,1.0,1.0,43.68,1
Super built-up  Area,18-Dec,Hosa Road,Mahesr ,1161.0,2.0,1.0,48.75,2
Super built-up  Area,19-Jan,Hosa Road,Sosisic,1893.0,3.0,2.0,130.0,3
Super built-up  Area,18-Dec,Hosa Road,Mahesr ,1541.0,3.0,1.0,69.61,3
Super built-up  Area,19-Mar,Hosa Road,Skume R,615.0,1.0,1.0,43.08,1
Super built-up  Area,Ready To Move,Hosa Road,SSaleRo,1016.0,2.0,1.0,39.95,2
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,2378.0,3.0,1.0,262.0,3
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,2376.0,3.0,1.0,203.0,3
Built-up  Area,Ready To Move,Hosakerehalli,Taonte ,3205.0,5.0,1.0,380.0,4
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,3024.0,5.0,1.0,248.0,4
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,3024.0,5.0,1.0,350.0,4
Super built-up  Area,18-Mar,Hosakerehalli,SoageHe,1304.0,2.0,3.0,100.0,2
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,2480.0,3.0,2.0,245.0,3
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,2480.0,4.0,1.0,260.0,3
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,3205.0,4.0,2.0,300.0,4
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,3033.0,4.0,1.0,326.0,4
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,2480.0,4.0,1.0,265.0,3
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,2376.0,3.0,1.0,240.0,3
Super built-up  Area,Ready To Move,Hoskote,Deiveer,1250.0,3.0,2.0,50.0,3
Super built-up  Area,Ready To Move,Hoskote,Deiveer,1225.0,3.0,1.0,40.0,3
Super built-up  Area,Ready To Move,Hoskote,Thiced ,1740.0,3.0,3.0,60.0,3
Super built-up  Area,Ready To Move,Hoskote,VRrtsa ,1170.0,2.0,3.0,45.0,2
Super built-up  Area,Ready To Move,Hoskote,Deiveer,1250.0,3.0,2.0,29.0,3
Super built-up  Area,Ready To Move,Hoskote,VRowsa ,1095.0,2.0,2.0,33.6,2
